LGA_NAME,SUBURB_NAME,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BEACHES,BALGOWLAH HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,
WOLLONGONG,BALGOWNIE,,,,,,,,,,,,,,,,,,,,,,,,,
PORT STEPHENS,BALICKERA,,,,,,,,,,,,,,,,,,,,,,,,,
GILGANDRA,BALLADORAN,,,,,,,,,,,,,,,,,,,,,,,,,
QUEANBEYAN-PALERANG REGIONAL,BALLALABA,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERATION,BALLDALE,,,,,,,,,,,,,,,,,,,,,,,,,
PORT MACQUARIE-HASTINGS,BALLENGARRA,,,,,,,,,,,,,,,,,,,,,,,,,
DUBBO REGIONAL,BALLIMORE,,,,,,,,,,,,,,,,,,,,,,,,,
BALLINA,BALLINA,,,,,,,,,,,,,,,,,,,,,,,,,
OBERON,BALLYROE,,,,,,,,,,,,,,,,,,,,,,,,,
INNER WEST,BALMAIN,,,,,,,,,,,,,,,,,,,,,,,,,
INNER WEST,BALMAIN EAST,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE MACQUARIE,BALMORAL,,,,,,,,,,,,,,,,,,,,,,,,,
BALRANALD,BALRANALD,,,,,,,,,,,,,,,,,,,,,,,,,
SHOALHAVEN,BAMARANG,,,,,,,,,,,,,,,,,,,,,,,,,
PORT MACQUARIE-HASTINGS,BANDA BANDA,,,,,,,,,,,,,,,,,,,,,,,,,
DUNGOG,BANDON GROVE,,,,,,,,,,,,,,,,,,,,,,,,,
SNOWY VALLEYS,BANGADANG,,,,,,,,,,,,,,,,,,,,,,,,,
SHOALHAVEN,BANGALEE,,,,,,,,,,,,,,,,,,,,,,,,,
BYRON,BANGALOW,,,,,,,,,,,,,,,,,,,,,,,,,
GWYDIR,BANGHEET,,,,,,,,,,,,,,,,,,,,,,,,,
UPPER LACHLAN SHIRE,BANGO,,,,,,,,,,,,,,,,,,,,,,,,,
SUTHERLAND SHIRE,BANGOR,,,,,,,,,,,,,,,,,,,,,,,,,
BAYSIDE,BANKSIA,,,,,,,,,,,,,,,,,,,,,,,,,
